Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
Hell Divers,Nicholas Sansbury Smith,19-07-16,R.C. Bray,10,English,4.5,820.0,10:11:00
Path of Destruction,Drew Karpyshyn,30-10-12,Jonathan Davis,20,English,5.0,1206.0,12:16:00
Jane Eyre,Charlotte Brontë,31-07-09,Juliet Stevenson,18,English,4.5,797.0,19:13:00
Marigold,Sara Gran,03-06-21,Jason Culp,14,English,3.5,1003.0,05:14:00
Heart of Darkness: A Signature Performance by Kenneth Branagh,Joseph Conrad,23-11-10,Kenneth Branagh,26,English,4.5,501.0,03:49:00
The Adventures of Tom Sawyer,Mark Twain,20-09-16,Nick Offerman,40,English,4.5,668.0,07:52:00
The Charles Dickens BBC Radio Drama Collection: The Later Years,Charles Dickens,01-03-18,Robert Glenister,1,English,5.0,1161.0,12:35:00
Grimm's Fairy Stories,The Brothers Grimm,21-02-12,Joanna Daniel,8,English,4.5,668.0,05:20:00
The Perils of Being Moderately Famous,Soha Ali Khan,26-12-18,Mary Joseph,52,English,4.0,1131.0,04:29:00
Midnight in the Graveyard,Thomas F. Monteleone,28-07-20,Gary Bennett,5,English,4.0,937.0,14:39:00
The Metamorphosis,Franz Kafka,27-04-11,Ralph Cosham,201,English,4.0,333.0,02:03:00
Stoner,John Williams,07-04-16,Alfred Molina,25,English,4.5,683.0,08:55:00
Infinite Jest,David Foster Wallace,09-04-12,Sean Pratt,4,English,4.0,500.0,08:12:00
Vanity Fair [AudioGo],William Makepeace Thackeray,09-02-09,John Castle,3,English,4.5,1138.0,07:01:00
The Fountainhead,Ayn Rand,11-04-06,Edward Herrmann,70,English,4.5,738.0,08:27:00
Sea of Tranquility,Emily St. John Mandel,28-04-22,Arthur Morey,9,English,4.5,323.0,05:46:00
The Cobra,Frederick Forsyth,19-08-10,John Chancer,17,English,4.5,702.0,11:08:00
Blindness,José Saramago,11-08-08,Jonathan Davis,27,English,4.5,702.0,12:33:00
The House at Pooh Corner,A. A. Milne,05-04-05,Peter Dennis,13,English,5.0,374.0,03:12:00
Crime and Punishment,Fyodor Dostoevsky,23-04-20,Don Warrington,6,English,4.5,1093.0,01:02:00
Before I Go To Sleep,S J Watson,05-05-11,Susannah Harker,60,English,4.0,820.0,12:14:00
Clarity and Connection,Yung Pueblo,27-04-21,Yung Pueblo,12,English,5.0,422.0,04:04:00
Robert Ludlum's™ The Bourne Treachery,Brian Freeman,27-07-21,Scott Brick,1,English,5.0,804.0,12:26:00
Just One Night,Carly Phillips,20-04-21,Mackenzie Cartwright,25,English,4.5,820.0,05:49:00
An Echo in the Bone: International Edition,Diana Gabaldon,12-10-20,Davina Porter,10,English,4.5,1407.0,21:59:00
The Prestige,Christopher Priest,06-09-06,Simon Vance,16,English,4.5,773.0,12:15:00
The Undomestic Goddess,Sophie Kinsella,10-01-07,Phoebe James,7,English,3.5,1003.0,12:26:00
The Spy Who Came in from the Cold,John le Carré,08-11-11,Michael Jayston,50,English,4.5,611.0,07:01:00
The Betrothed,Alessandro Manzoni,13-09-22,Ari Fliakos,0,English,0.0,1382.0,22:38:00
First Person Singular,Haruki Murakami,06-04-21,Kotaro Watanabe,31,English,4.0,615.0,05:24:00
Don Quixote,Tobias Smollett - translator,04-05-04,Robert Whitfield,1,English,5.0,1406.0,12:42:00
Imperium,Robert Harris,12-01-15,Bill Wallis,5,English,5.0,820.0,13:51:00
Brave New World,Aldous Huxley,16-01-08,Michael York,172,English,4.5,702.0,00:00:00
The Anne of Green Gables Collection,L.M. Montgomery,30-10-18,Susie Berneis,9,English,4.5,773.0,01:19:00
Elephants Can Remember,Agatha Christie,03-07-12,Hugh Fraser,12,English,4.5,1238.0,05:36:00
Panthers Moon (Hindi Edition),Ruskin Bond,25-12-18,Neha Gargava,4,Hindi,5.0,221.0,05:30:00
The Primal Hunter 2,Zogarth,14-06-22,Travis Baldree,3,English,4.5,836.0,19:25:00
Addicted for Now,Krista Ritchie,13-01-15,Charles Carr,4,English,5.0,1003.0,16:26:00
Thus Spoke Zarathustra,Friedrich Nietzsche,25-02-21,Saul Reichlin,5,English,5.0,888.0,14:31:00
Blood Meridian,Cormac McCarthy,16-05-07,Richard Poe,8,English,5.0,1218.0,13:06:00
Amritsar,Mark Tully,10-03-17,Homer Todiwala,37,English,4.5,284.0,08:57:00
Airport,Arthur Hailey,19-05-20,BJ Harrison,16,English,4.5,820.0,19:17:00
The Amityville Horror,Jay Anson,31-12-09,Ray Porter,39,English,4.0,585.0,06:28:00
The Tao Te Ching,Lao Tzu,31-05-18,Dan Strutzel,6,English,4.5,1003.0,01:31:00
Time's Eye,Stephen Baxter,08-04-08,John Lee,6,English,4.0,630.0,11:37:00
The Man Upstairs and Other Stories,P. G. Wodehouse,01-06-09,Frederick Davidson,4,English,4.0,702.0,10:09:00
Chilling Ghost Stories,Charles Dickens,01-10-12,Andrew Sachs,7,English,4.0,258.0,01:58:00
Tiamat's Wrath,James S. A. Corey,26-03-19,Jefferson Mays,26,English,5.0,1289.0,19:08:00
The Hacienda,Isabel Cañas,03-05-22,Victoria Villarreal,6,English,3.5,1131.0,11:07:00
Pearce: Black 13,Adam Hamdy,23-01-20,Jot Davies,4,English,4.0,323.0,15:08:00
Kumarsambhav (Hindi Edition),Kalidas,14-10-21,Rishi Upadhyay,16,Hindi,5.0,0.0,05:06:00
Grin and Beard It,Penny Reid,05-09-16,Chris Brinkley,10,English,4.5,836.0,12:50:00
All the Broken Places,John Boyne,15-09-22,Helen Lloyd,1,English,5.0,888.0,12:42:00
Wonder,R. J. Palacio,08-04-12,Kate Rudd,64,English,5.0,820.0,08:05:00
Rarang Dhang,Prabhakar Pendharkar,07-02-14,Amey Wagh,92,English,5.0,375.0,03:27:00
A Swim in a Pond in the Rain,George Saunders,12-01-21,George Saunders,7,English,5.0,645.0,14:44:00
The Rosie Result,Graeme Simsion,04-04-19,Dan O'Grady,18,English,4.5,820.0,08:17:00
The Key to Rebecca,Ken Follett,30-08-18,Tim Downie,15,English,4.5,323.0,11:32:00
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,26-12-04,Martin Jarvis,7,English,4.5,668.0,06:34:00
The Oscar Wilde BBC Radio Drama Collection,Oscar Wilde,04-04-19,Miriam Margolyes,19,English,4.5,957.0,11:58:00
Tender Is the Flesh,Agustina Bazterrica,11-06-20,Joseph Balderrama,8,English,4.5,569.0,06:43:00
The Iliad of Homer,Elizabeth Vandiver,08-07-13,Elizabeth Vandiver,2,English,5.0,501.0,06:04:00
Neuromancer,William Gibson,13-07-21,Jason Flemyng,6,English,4.5,621.0,08:32:00
The Collapsing Empire,John Scalzi,21-03-17,Wil Wheaton,8,English,4.5,668.0,09:24:00
Divergence,TurtleMe,10-11-20,Travis Baldree,15,English,5.0,1340.0,15:08:00
Back Blast,Mark Greaney,16-02-16,Jay Snyder,22,English,4.5,1003.0,18:20:00
White Sand: Volume Two [Dramatized Adaptation],Brandon Sanderson,17-10-20,Terence Aselford,3,English,4.5,703.0,05:11:00
A Tale of Two Cities,Charles Dickens,19-01-06,Martin Jarvis,4,English,4.0,748.0,14:18:00
Wolfsong,TJ Klune,05-10-16,Kirt Graves,5,English,4.5,836.0,18:40:00
"Mahabharata, Vol. 2 (Part 1)",Bibek Debroy,29-09-20,Sumit Kaul,12,English,4.5,879.0,06:24:00
Ice Candy Man,Bapsi Sidhwa,21-08-20,Mala Mangla,4,English,5.0,879.0,11:01:00
Blackflame,Will Wight,25-09-19,Travis Baldree,11,English,5.0,836.0,11:01:00
The Remains of the Day,Kazuo Ishiguro,06-09-12,Dominic West,106,English,4.5,531.0,07:05:00
Bridgerton: Romancing Mister Bridgerton,Julia Quinn,24-06-21,Rosalyn Landor,22,English,4.5,804.0,13:17:00
Rebirth,Kamal Ravikant,03-01-17,David Pittu,2,English,4.0,500.0,07:07:00
The Plague: International Edition,Albert Camus,29-10-20,James Jenner,13,English,4.5,938.0,10:52:00
To the Lighthouse,Virginia Woolf,26-06-12,Nicole Kidman,27,English,4.0,668.0,06:37:00
Falling for Her,Monica Murphy,14-07-20,Sarah McEwan,6,English,5.0,820.0,11:39:00
American Psycho,Bret Easton Ellis,17-03-11,Nick Landrum,7,English,4.5,625.0,17:05:00
A Thing Beyond Forever,Novoneel Chakraborty,20-01-17,Neelima Devdas,5,English,4.5,0.0,07:46:00
Solamalai Ilavarasi,Kalki,18-05-21,Bombay Kannan,25,tamil,4.5,90.0,04:06:00
The Middle Length Discourses of the Buddha,Bhikkhu Ñānamoli,08-08-19,Taradasa,1,English,5.0,1898.0,23:22:00
Everything You Ever Wanted to Know about Bureaucracy But Were Afraid to Ask,T. R. Raghunandan,29-06-20,Arish Bhiwandiwala,11,English,4.0,879.0,08:45:00
The Third Twin,Ken Follett,16-08-18,January LaVoy,13,English,4.5,323.0,00:00:00
Rusty Ki Ghar Wapsi [Rusty's Homecoming],Ruskin Bond,13-08-20,Sundip Ved,2,Hindi,4.5,668.0,06:22:00
Choutha Ekka (Hindi Edition),James Hadley Chase,19-07-21,Subhav Kher,25,Hindi,4.0,668.0,05:22:00
The Strength In Our Scars,Bianca Sparacino,28-07-20,Rachel L. Jacobs,17,English,4.5,234.0,02:10:00
A Tale of Two Cities,Charles Dickens,09-12-19,Swetanshu Bora,6,English,4.5,0.0,14:13:00
Private Life Of The Mughals Of India,R. Nath,21-11-17,Surjan Singh,8,English,4.0,668.0,06:28:00
Bewilderment,Richard Powers,21-09-21,Edoardo Ballerini,12,English,4.0,888.0,07:51:00
Solo Leveling: Vol. 4,Chugong,21-06-22,Ki Hong Lee,1,English,5.0,500.0,07:43:00
The New Kingdom,Wilbur Smith,15-08-22,Mark Meadows,0,English,0.0,1405.0,15:01:00
The Man on the Mountaintop,Susan Trott,09-11-17,Stanley Tucci,4,English,4.0,569.0,05:45:00
The One You Cannot Have,Preeti Shenoy,01-01-17,Meetu Chilana,37,English,4.5,222.0,08:27:00
Tom Clancy's Point of Contact,Mike Maden,06-09-18,Scott Brick,3,English,4.5,820.0,13:39:00
The Inimitable Jeeves,P. G. Wodehouse,18-08-08,Frederick Davidson,16,English,5.0,702.0,06:05:00
Lincoln in the Bardo,George Saunders,09-03-17,Nick Offerman,22,English,3.5,569.0,07:25:00
Ravindra Nath Tagore Ki Lokpriya Kahaniyan [Popular Stories of Ravindra Nath Tagore],Ravindra Nath,24-12-18,Gautam Pandey,26,Hindi,4.5,225.0,05:25:00
Dirty Billionaire Trilogy,Meghan March,18-06-19,Elena Wolfe,19,English,4.5,820.0,12:52:00
The Peripheral,William Gibson,28-05-15,Lorelei King,1,English,5.0,721.0,14:05:00
The White Tiger,Aravind Adiga,05-12-08,Bindya Solanki,237,English,4.0,1192.0,08:10:00
Orlando,Virginia Woolf,14-01-05,Clare Higgins,8,English,4.0,759.0,08:38:00
Dumb Witness,Agatha Christie,30-10-07,Hugh Fraser,12,English,4.5,379.0,07:18:00
Without Sanction,Don Bentley,03-03-20,Jack Armstrong,1,English,4.0,1005.0,10:35:00
Naagraj Ki Duniya [The World of Nagaraj],R.K. Narayan,16-07-20,Ashok Vyas,3,Hindi,3.5,668.0,07:04:00
The Screwtape Letters,C. S. Lewis,01-09-06,Ralph Cosham,23,English,4.5,421.0,03:36:00
The Witch of Portobello,Paulo Coelho,16-11-07,Rita Wolf,6,English,4.0,1406.0,08:09:00
Smoke and Ashes,Abir Mukherjee,07-06-18,Simon Bubb,13,English,4.5,752.0,10:14:00
The H G Wells BBC Radio Collection,H. G. Wells,01-10-20,Amy Hoggart,0,English,0.0,1093.0,05:12:00
A Cup of Friendship,Deborah Rodriguez,25-01-11,Mozhan Marnò,9,English,4.0,1005.0,09:31:00
"To Sir, with Love",E. R. Braithwaite,05-12-17,Ben Onwukwe,8,English,5.0,1172.0,06:46:00
The Fox,Frederick Forsyth,20-09-18,David Rintoul,37,English,4.0,683.0,08:12:00
Somnath (Hindi Edition),Acharya Chatursen,14-10-21,Deevas Gupta,7,Hindi,4.5,0.0,19:47:00
Hitched,Kendall Ryan,22-07-16,Ava Erickson,13,English,4.0,585.0,04:23:00
Tigana,Guy Gavriel Kay,03-03-20,Simon Vance,4,English,4.5,1407.0,00:51:00
The Travelling Cat Chronicles,Hiro Arikawa,24-05-18,George Blagden,58,English,4.5,615.0,05:59:00
Outlander: International Edition,Diana Gabaldon,12-10-20,Davina Porter,29,English,4.5,1407.0,08:38:00
Narasimha,Kevin Missal,14-10-21,Rajat Verman,56,English,4.0,668.0,09:59:00
All the Ugly and Wonderful Things,Bryn Greenwood,09-08-16,Jorjeana Marie,8,English,5.0,836.0,11:08:00
The Authenticity Project,Clare Pooley,04-02-20,Anna Cordell,41,English,4.5,888.0,10:25:00
A Marvellous Light,Freya Marske,09-12-21,David Thorpe,2,English,4.0,323.0,14:30:00
Lal Rekha,Kushwaha Kant,29-12-20,Sundip Ved,18,Hindi,4.5,0.0,06:18:00
The Casebook of Sherlock Holmes,Arthur Conan Doyle,01-02-12,Derek Jacobi,3,English,5.0,702.0,09:08:00
The Book of Disquiet,Fernando Pessoa,19-06-18,Adam Sims,6,English,4.5,1172.0,17:28:00
"20,000 Leagues Under the Sea",Jules Verne,24-10-17,David Linski,15,English,4.5,836.0,11:13:00
Triple,Ken Follett,23-08-18,Raza Jaffrey,5,English,4.5,323.0,13:09:00
Blink,K. L. Slater,16-02-17,Lucy Price-Lewis,10,English,3.5,569.0,08:19:00
The Princess Bride,William Goldman,16-12-99,Rob Reiner,4,English,5.0,374.0,02:32:00
Emma [Naxos Edition],Jane Austen,06-06-08,Juliet Stevenson,12,English,5.0,1003.0,16:39:00
Nightcrawling,Leila Mottley,07-06-22,Joniece Abbott-Pratt,2,English,3.0,1025.0,10:48:00
The Feast of Roses,Indu Sundaresan,29-03-07,Sneha Mathan,44,English,4.5,937.0,17:43:00
Classical Mythology,Elizabeth Vandiver,08-07-13,Elizabeth Vandiver,1,English,5.0,1171.0,12:25:00
A Portrait of the Artist as a Young Man,James Joyce,22-01-19,Colin Farrell,13,English,4.0,836.0,08:17:00
Les Miserables,Victor Hugo,22-08-03,Frederick Davidson,4,English,5.0,1171.0,09:48:00
The Party Crasher,Sophie Kinsella,14-10-21,Fiona Hardingham,8,English,4.0,888.0,09:31:00
Don Quixote,Miguel Cervantes,23-04-20,Kayvan Novak,3,English,4.5,1093.0,15:17:00
The Pilgrim's Progress,John Bunyan,01-08-13,David Shaw-Parker,5,English,5.0,1003.0,12:03:00
Goat Days,Benyamin,14-10-20,Sankalp Ratogi,18,English,4.5,502.0,04:55:00
The Conqueror,Aditya Iyengar,10-06-20,Avinash Kumar Singh,9,English,4.5,668.0,06:57:00
Brushfire,Craig Alanson,15-12-20,R.C. Bray,9,English,5.0,1675.0,19:18:00
Lonesome Dove,Larry McMurtry,31-12-17,Lee Horsley,3,English,3.0,1875.0,12:47:00
Frederica,Georgette Heyer,26-08-21,Joe Jameson,3,English,5.0,888.0,12:49:00
Crowne of Lies,CD Reiss,06-03-20,Joe Arden,2,English,4.5,668.0,08:27:00
"If This Isn't Nice, What Is?",Kurt Vonnegut,07-05-13,Kevin T. Collins,31,English,4.5,100.0,02:23:00
Equal Rites,Terry Pratchett,28-04-22,Indira Varma,8,English,5.0,1093.0,07:27:00
If Cats Disappeared from the World,Genki Kawamura,20-09-18,Brian Nishii,4,English,4.0,323.0,04:49:00
Pride and Prejudice,Jane Austen,21-05-21,Juliet Stevenson,4,English,5.0,633.0,14:02:00
Zikora,Chimamanda Ngozi Adichie,27-10-20,Adepero Oduye,66,English,4.5,67.0,01:15:00
Alien: Covenant,Alan Dean Foster,23-05-17,Tom Taylorson,0,English,0.0,820.0,08:58:00
The Fifth Elephant,Terry Pratchett,17-07-07,Stephen Briggs,11,English,4.5,820.0,10:48:00
Polaris,H. P. Lovecraft,21-10-22,Heiner Lamprecht,0,german,0.0,32.0,00:00:00
The Island of Missing Trees,Elif Shafak,05-08-21,Daphne Kouma,77,English,4.5,888.0,11:44:00
Razorblade Tears,S. A. Cosby,06-07-21,Adam Lazarre-White,9,English,4.0,181.0,00:00:00
Confessions of a Thug,Philip M. Taylor,24-01-11,Sanjiv Jhaveri,16,English,4.0,1003.0,00:41:00
Warlock,Wilbur Smith,31-01-19,Mark Meadows,4,English,5.0,1138.0,02:05:00
Life Lessons from the Great Books,J. Rufus Fears,08-07-13,J. Rufus Fears,2,English,4.5,1405.0,18:16:00
The Club,Ellery Lloyd,31-03-22,Tamaryn Payne,3,English,4.5,323.0,09:23:00
The Mating Season,P. G. Wodehouse,04-05-09,Jonathan Cecil,9,English,5.0,558.0,06:51:00
Jaisa Tum Chaho [As You Like It],William Shakespeare,20-05-22,Babla Kochhar,3,Hindi,4.0,0.0,04:06:00
Mavericks,Craig Alanson,25-09-18,R.C. Bray,8,English,5.0,1507.0,17:21:00
A Thousand Ships,Natalie Haynes,02-05-19,Natalie Haynes,6,English,4.5,323.0,08:34:00
A Walk to Remember,Nicholas Sparks,16-12-99,Nicholas Sparks,27,English,5.0,500.0,04:24:00
The Visit,Chimamanda Ngozi Adichie,31-08-21,Nyambi Nyambi,22,English,4.5,67.0,00:00:00
Crystal Awakening,Andrew Rowe,29-11-22,Travis Baldree,0,English,0.0,1842.0,18:05:00
Upon an Old Wall Dreaming,Ruskin Bond,16-02-17,Sagar Arya,5,English,5.0,364.0,07:12:00
The Perfect Hope,Nora Roberts,06-11-12,MacLeod Andrews,5,English,4.0,1005.0,10:13:00
Pride and Prejudice [Audible Studios],Jane Austen,28-02-06,Lindsay Duncan,3,English,5.0,748.0,12:03:00
Shadow Princess,Indu Sundaresan,22-03-16,Sneha Mathan,33,English,4.5,820.0,13:25:00
Win Bigly,Scott Adams,31-10-17,Scott Adams,13,English,4.0,1005.0,09:02:00
When Nietzsche Wept,Irvin D. Yalom,28-10-15,Richard Powers,10,English,5.0,820.0,15:25:00
Zen in the Art of Writing,Ray Bradbury,05-01-18,Jim Frangione,7,English,4.5,469.0,03:54:00
Clear and Present Danger,Tom Clancy,31-01-14,Michael Prichard,10,English,4.5,1054.0,06:07:00
The 6th Extinction,James Rollins,31-08-21,Christian Baskous,1,English,5.0,1055.0,14:59:00
Never Go Back,Lee Child,29-08-13,Jeff Harding,13,English,4.5,957.0,11:45:00
Ruin,John Gwynne,16-07-15,Damian Lynch,3,English,4.5,987.0,04:14:00
A Place Called Home,Preeti Shenoy,10-08-22,Pallavi Bharti,3,English,4.5,1406.0,07:56:00
The Convenient Marriage,Georgette Heyer,04-02-21,Avita Jay,6,English,5.0,888.0,10:33:00
Letters from an Astrophysicist,Neil deGrasse Tyson,08-10-19,Neil deGrasse Tyson,31,English,5.0,888.0,05:35:00
Glory,NoViolet Bulawayo,07-04-22,Chipo Chung,4,English,4.0,1093.0,16:10:00
David Copperfield,Charles Dickens,14-11-08,Martin Jarvis,19,English,5.0,835.0,10:33:00
How to Read and Understand Shakespeare,Marc C. Conner,08-07-13,Marc C. Conner,2,English,5.0,1171.0,12:06:00
The Last Guardian,Victor Kloss,19-09-17,Peter Kenny,0,English,0.0,1005.0,08:21:00
Going Postal,Terry Pratchett,06-07-07,Stephen Briggs,11,English,5.0,820.0,10:57:00
Shakespeare's Tragedies,Clare R. Kinney,08-07-13,Clare R. Kinney,0,English,0.0,1171.0,12:01:00
The Man Who Mistook His Wife for a Hat,Oliver Sacks,12-07-18,Jonathan Davis,31,English,4.5,323.0,09:33:00
The Monster Collection,Mary Shelley,24-10-17,Richard Armitage,2,English,4.0,1898.0,06:25:00
Persuasion,Jane Austen,01-01-06,Greta Scacchi,57,English,4.5,653.0,08:13:00
Bones & All,Camille DeAngelis,03-09-15,Julia Knippen,0,English,0.0,668.0,09:05:00
Women Aur Weight Loss Ka Tamasha [Women and the Weight Loss Tamasha],Rujuta Diwekar,07-02-18,Shweta Pradhan,1,Hindi,5.0,243.0,16:09:00
Guide (Hindi Edition),R.K. Narayan,03-03-20,Shashi Chaturvedi,16,Hindi,4.5,231.0,08:42:00
The Naked Face & The Stars Shine Down,Sidney Sheldon,09-08-16,Roger Moore,3,English,4.0,585.0,05:19:00
Life of Pi,Yann Martel,01-06-17,Sanjeev Bhaskar,19,English,4.5,797.0,11:36:00
Ukridge,P. G. Wodehouse,18-01-06,Jonathan Cecil,0,English,0.0,607.0,07:26:00
The Obsession,Nora Roberts,12-04-16,Shannon McManus,5,English,5.0,1008.0,14:19:00
Night over Water,Ken Follett,23-08-18,Russell Bentley,7,English,4.5,323.0,18:41:00
Letters to a Young Poet,Rainer Maria Rilke,19-02-16,Dan Stevens,19,English,4.5,615.0,01:51:00
Half Bad,Sally Green,03-03-14,Carl Prekopp,0,English,0.0,683.0,08:34:00
Northanger Abbey,Jane Austen,16-01-08,Nadia May,7,English,4.5,668.0,07:33:00
No Man's Land,David Baldacci,17-11-16,Kyf Brewer,11,English,5.0,323.0,11:36:00
The Western Canon,Harold Bloom,26-10-00,James Armstrong,1,English,4.0,1338.0,22:04:00
Dare Nation - The Entire Collection,Carly Phillips,30-03-21,Erin Mallon,8,English,4.0,1289.0,20:12:00
The Persian Boy,Mary Renault,11-12-14,Roger May,1,English,5.0,987.0,19:57:00
The Kind Worth Killing,Peter Swanson,26-05-22,Kathleen Early,1,English,4.0,873.0,10:17:00
Four Treasures of the Sky,Jenny Tinghui Zhang,28-04-22,Katharine Chin,4,English,4.0,888.0,12:18:00
Finding Lady Enderly,Joanna Davidson Politano,20-08-19,Sarah Nichols,4,English,4.0,700.0,09:39:00
Honor's Splendour,Julie Garwood,29-06-10,Anne Flosnik,1,English,5.0,1008.0,13:49:00
Northanger Abbey,Jane Austen,29-01-08,Anna Massey,8,English,4.5,607.0,07:40:00
Spartacus,Howard Fast,16-10-13,Julian Elfer,2,English,5.0,836.0,12:22:00
Sons,Pearl S. Buck,14-02-17,Adam Verner,2,English,4.5,820.0,13:58:00
Young Mungo,Douglas Stuart,14-04-22,Chris Reilly,4,English,4.5,323.0,13:41:00
The Enemies of My Country,Jason Kasper,15-01-21,Corey M. Snow,5,English,5.0,820.0,10:55:00
Priest: A Love Story,Sierra Simone,13-06-17,Jacob Morgan,16,English,4.5,668.0,08:07:00
One Italian Summer,Rebecca Serle,01-03-22,Lauren Graham,1,English,5.0,759.0,06:21:00
Wolf Totem,Jiang Rong,29-04-08,Jason Culp,8,English,5.0,820.0,22:21:00
Gitanjali,Rabindranath Tagore,07-10-19,Michael Fitzpatrick,7,English,5.0,562.0,01:19:00
FantasticLand,Mike Bockoven,01-01-17,Angela Dawe,0,English,0.0,1005.0,10:01:00
A Stranger in the Mirror,Sidney Sheldon,05-12-16,Shannon Engemann,7,English,4.0,702.0,07:19:00
The Time Machine,H. G. Wells,06-02-17,John Banks,11,English,4.5,227.0,03:22:00
"Stiff Upper Lip, Jeeves",P. G. Wodehouse,25-08-05,Jonathan Cecil,5,English,5.0,512.0,05:11:00
Dilli Tha Jis Ka Naam (Urdu Edition),Intizar Hussain,13-09-18,Arif Bahalim,8,urdu,5.0,703.0,07:35:00
Games People Play,Louise Voss,16-05-17,Caitlin Thorburn,0,English,0.0,721.0,14:16:00
The Windfall,Diksha Basu,13-07-17,Homer Todiwala,6,English,3.0,569.0,08:54:00
The Searcher,Tana French,05-11-20,Roger Clark,9,English,4.5,888.0,14:32:00
Bhayanak Aadmi [The Dangerous Man],Ibne Safi,29-07-22,Shamshad Ali Khan,3,urdu,5.0,0.0,01:19:00
Em and the Big Hoom,Jerry Pinto,01-01-17,Sam Dastor,46,English,4.5,398.0,06:08:00
The Citadel,A. J. Cronin,08-09-10,Franklin Engelmann,1,English,5.0,873.0,15:26:00
Addicted to Him,Monica Murphy,08-09-20,Sarah McEwan,3,English,2.5,937.0,00:00:00
Konrad Curze: The Night Haunter,Guy Haley,10-08-19,Jonathan Keeble,0,English,0.0,759.0,06:05:00
Truth or Beard,Penny Reid,12-11-15,Joy Nash,7,English,4.0,836.0,13:44:00
The Mayor of Casterbridge,Thomas Hardy,05-05-09,Tony Britton,8,English,5.0,759.0,13:12:00
Les Misérables,Christine Donougher,23-04-20,Adeel Akhtar,3,English,4.5,1093.0,17:41:00
The Night Manager,John le Carré,07-11-11,Michael Jayston,7,English,4.5,1195.0,19:01:00
The Secret Garden,Frances Hodgson Burnett,18-08-08,Johanna Ward,19,English,5.0,836.0,08:10:00
Witches Abroad,Terry Pratchett,28-04-22,Indira Varma,5,English,5.0,1093.0,09:53:00
Lucy by the Sea,Elizabeth Strout,06-10-22,Kimberly Farr,0,English,0.0,888.0,08:19:00
His Forsaken Bride,Alice Coldbreath,07-01-20,Anne Flosnik,2,English,5.0,820.0,17:18:00
Northanger Abbey,Jane Austen,01-01-06,Juliet Stevenson,9,English,4.5,836.0,08:17:00
The Cost of Living,Deborah Levy,05-04-18,Juliet Stevenson,15,English,5.0,615.0,03:13:00
The Adventures of Sally,P. G. Wodehouse,29-12-99,Frederick Davidson,9,English,4.5,702.0,07:40:00
Afterlives,Abdulrazak Gurnah,29-10-20,Damian Lynch,10,English,4.0,645.0,10:20:00
Sylvester,Georgette Heyer,04-02-21,Matt Addis,4,English,5.0,888.0,12:19:00
Leo Tolstoy: The Non-Fiction Collection,Leo Tolstoy,27-11-22,Malk Williams,0,English,0.0,1898.0,02:36:00
"Forever, Jack",Natasha Boyd,04-07-17,Jorjeana Marie,3,English,3.5,820.0,09:16:00
Horrorstör,Grady Hendrix,23-09-14,Tai Sammons,16,English,4.0,702.0,06:16:00
Quest for the Diamond Sword,Winter Morgan,25-11-14,Luke Daniels,15,English,5.0,233.0,02:23:00
Raw (Tamil Edition),Guhan,09-11-22,Pushpalatha Parthiban,1,tamil,4.0,76.0,03:44:00
Sherlock Holmes: The Hound of the Baskervilles,Arthur Conan Doyle,16-08-12,Derek Jacobi,8,English,4.5,558.0,06:22:00
The Fourth Protocol,Frederick Forsyth,05-10-10,David Rintoul,11,English,5.0,748.0,13:52:00
Sherlock Holmes: The Thinking Engine,James Lovegrove,25-10-22,Dennis Kleinman,0,English,0.0,867.0,09:07:00
A Little Too Late,Sarina Bowen,04-10-22,Andi Arndt,0,English,0.0,668.0,07:47:00
The Overcoat and Other Russian Tales,Nikolai Vasilievich Gogol,24-11-20,Stefan Rudnicki,8,English,4.5,820.0,07:53:00
The Return of Sherlock Holmes,Arthur Conan Doyle,09-09-09,Derek Jacobi,4,English,5.0,748.0,12:05:00
By the Sea,Abdulrazak Gurnah,31-08-22,Connie Mgadzah,1,English,4.0,1025.0,11:39:00
Implode,Dakota Krout,04-10-22,Luke Daniels,0,English,0.0,836.0,11:51:00
Critical Role,Madeleine Roux,01-11-22,Robbie Daymond,0,English,0.0,888.0,12:43:00
Sign Here,Claudia Lux,25-10-22,MacLeod Andrews,0,English,0.0,1005.0,10:28:00
Dragon Rising 1,Dante King,25-10-22,Leo Barnabas,0,English,0.0,1507.0,09:33:00
Spy,Danielle Steel,26-11-19,Samuel Roukin,3,English,4.5,820.0,08:08:00
The Surgeon,Tess Gerritsen,18-06-20,Laurel Lefkow,10,English,4.0,888.0,10:49:00
The Castle,Franz Kafka,04-02-11,Allan Corduner,1,English,4.0,937.0,13:04:00
Beijing Red,Alex Ryan,10-05-16,MacLeod Andrews,0,English,0.0,820.0,10:49:00
Beauty and the Billionaire,Lauren Landish,27-02-19,Tor Thom,6,English,4.5,836.0,10:56:00
The Personal Librarian,Marie Benedict,29-06-21,Robin Miles,9,English,4.5,1131.0,12:23:00
Rising Sun,Michael Crichton,01-09-15,MacLeod Andrews,4,English,5.0,1005.0,11:45:00
Queen of Dreams,Chitra Banerjee Divakaruni,14-10-14,Deepti Gupta,69,English,4.0,836.0,10:33:00
The Afghan,Frederick Forsyth,18-10-07,Steven Crossley,14,English,4.5,748.0,10:42:00
