Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
Children of Dune,Frank Herbert,05-02-08,Scott Brick,29,English,4.5,221.0,16:51:00
Darker,E. L. James,28-11-17,Zachary Webber,34,English,4.5,957.0,00:00:00
An Undelivered Speech: Annihilation of Caste,Dr B.R. Ambedkar,12-05-21,Siddhartha Valicharla,82,English,5.0,234.0,04:50:00
The Count of Monte Cristo,Alexandre Dumas,17-06-08,John Lee,75,English,5.0,1338.0,22:56:00
Tinker Tailor Soldier Spy,John le Carré,22-07-05,Michael Jayston,17,English,4.5,1195.0,12:48:00
Business Maharajas,Gita Piramal,19-08-20,Multani Kiran,16,English,4.5,1256.0,16:05:00
Echoes of Eternity,Aaron Dembski-Bowden,03-09-22,Jonathan Keeble,5,English,5.0,1138.0,15:50:00
False Impression,Jeffrey Archer,19-06-14,Lorelei King,33,English,4.5,323.0,10:29:00
The Secret History,Donna Tartt,30-09-10,Donna Tartt,81,English,4.5,957.0,22:04:00
The Virginia Woolf Collection,Virginia Woolf,02-03-21,Tilda Swinton,4,English,5.0,1518.0,06:13:00
Notes from Underground,Fyodor Dostoevsky,06-10-20,Stefan Rudnicki,21,English,4.5,585.0,04:35:00
A Hundred Little Flames,Preeti Shenoy,11-04-19,Aswin Varrier,198,English,4.5,284.0,11:14:00
Romeo Juliet (Hindi Edition),William Shakespeare,14-10-21,Avdhesh Tondak,5,Hindi,4.0,0.0,03:53:00
Mother of Learning Arc 2,nobody103,17-05-22,Jack Voraces,2,English,5.0,2010.0,01:11:00
Morning Star,Pierce Brown,09-02-16,Tim Gerard Reynolds,37,English,5.0,1055.0,21:50:00
The Left Hand of Darkness,Ursula K. Le Guin,28-12-16,George Guidall,12,English,4.5,820.0,09:39:00
Blade Runner,Philip K. Dick,27-11-07,Scott Brick,8,English,4.5,878.0,09:12:00
Convenience Store Woman,Sayaka Murata,09-03-20,Nancy Wu,119,English,4.0,434.0,03:21:00
Archer's Voice,Mia Sheridan,01-08-22,Kris Koscheski,15,English,4.0,500.0,11:07:00
The Other Side of Midnight,Sidney Sheldon,19-04-16,Steven Pacey,44,English,4.5,937.0,14:29:00
The Egg and Other Stories,Andy Weir,06-06-17,Jonathan Davis,86,English,4.5,166.0,01:17:00
Jaishankar Prasad Ki Shrestha Kahaniyaan [Best Stories of Jaishankar Prasad],Jaishankar Prasad,14-10-21,Kumud Soney,3,Hindi,3.5,0.0,08:56:00
Make Me,Lee Child,10-09-15,Jeff Harding,11,English,4.0,957.0,11:42:00
The Best of Ruskin Bond,Ruskin Bond,16-08-19,Paul Thottam,21,English,4.0,1131.0,13:19:00
Executive Orders,Tom Clancy,05-03-14,Michael Prichard,17,English,4.0,1054.0,03:25:00
Ajab-Gazab Meri Duniya [My World],Ruskin Bond,18-01-19,Anil Datt,5,Hindi,5.0,260.0,07:23:00
"My Sister, the Serial Killer",Oyinkan Braithwaite,03-01-19,Weruche Opia,161,English,4.0,548.0,04:30:00
The Road,Cormac McCarthy,15-03-07,Tom Stechschulte,14,English,4.5,703.0,06:39:00
The Girl Who Kicked the Hornets' Nest,Stieg Larsson,20-10-09,Saul Reichlin,76,English,4.5,949.0,01:06:00
The Rule Breakers,Preeti Shenoy,30-01-20,Nimisha Sirohi,85,English,4.5,235.0,10:30:00
Artemis,Andy Weir,14-11-17,Rosario Dawson,168,English,4.0,1003.0,08:57:00
David Copperfield,Charles Dickens,09-02-16,Richard Armitage,12,English,5.0,1338.0,12:30:00
Arabian Nights: Volume 1,Marty Ross,15-05-18,Zahra Ahmadi,107,English,4.5,759.0,08:20:00
Blood of Liscor,pirateaba,22-11-22,Andrea Parsneau,0,English,0.0,2010.0,00:00:00
An Unsuitable Boy,Karan Johar,21-01-19,Gaurav Sajjanhar,256,English,4.0,1256.0,08:39:00
Boyfriend Material,Alexis Hall,07-07-20,Joe Jameson,35,English,4.5,1172.0,13:11:00
And the Mountains Echoed,Khaled Hosseini,22-03-16,Khaled Hosseini,69,English,4.0,836.0,00:00:00
My Year of Rest and Relaxation,Ottessa Moshfegh,14-03-19,Julia Whelan,53,English,4.0,683.0,07:15:00
Hamlet,William Shakespeare,23-01-20,Babla Kochhar,42,Hindi,4.5,0.0,07:14:00
Greenlights,Matthew McConaughey,07-11-22,Francesco Prando,0,italian,0.0,305.0,07:58:00
The Tenant of Wildfell Hall,Anne Brontë,14-11-06,Alex Jennings,13,English,4.0,873.0,16:21:00
Thirukkural,Thiruvalluvar,05-02-18,S. Jayaraman,1,tamil,5.0,836.0,10:25:00
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,09-03-21,Heath Miller,19,English,5.0,2010.0,04:56:00
The Heart's Invisible Furies,John Boyne,09-02-17,Stephen Hogan,13,English,4.5,957.0,21:20:00
Ascension,TurtleMe,15-06-21,Travis Baldree,14,English,5.0,1675.0,00:18:00
Anna Karenina,Leo Tolstoy,12-07-16,Maggie Gyllenhaal,117,English,4.5,1338.0,11:35:00
Legends & Lattes,Travis Baldree,16-06-22,Travis Baldree,9,English,5.0,323.0,06:21:00
The Book of Form and Emptiness,Ruth Ozeki,23-09-21,Kerry Shale,8,English,4.0,1138.0,18:53:00
Dracula,Bram Stoker,21-10-21,Patricia Allison,7,English,5.0,873.0,18:25:00
Einstein's Dreams,Alan Lightman,21-04-15,Grover Gardner,46,English,4.5,585.0,02:32:00
Mahayoddha Kalki: Sword of Shiva,Kevin Missal,24-01-22,Manish Dongardive,131,English,4.5,668.0,09:30:00
The Wealth of Nations,Adam Smith,22-08-12,Craig Deitschmann,19,English,4.0,585.0,05:07:00
Huge Deal,Lauren Layne,12-02-19,Samantha Cook,24,English,4.5,517.0,07:19:00
"Urdu Ki Chuni Hui Kahaniyan Part I & II [Selected Stories of Urdu, Hindi, Part I & II]",Kamleshwar,20-03-20,Hema Nikam,10,Hindi,4.0,284.0,19:54:00
On Earth We're Briefly Gorgeous,Ocean Vuong,20-06-19,Ocean Vuong,100,English,4.0,752.0,07:19:00
Ashadh ka Ek Din [Free One Day],Mohan Rakesh,10-04-19,NandKishore Pandey,22,Hindi,4.5,0.0,03:31:00
The Sentence Is Death,Anthony Horowitz,01-11-18,Rory Kinnear,31,English,4.0,820.0,08:35:00
Fifty Shades Freed,E. L. James,26-04-12,Becca Battoe,43,English,4.5,957.0,20:59:00
Shatranj Ke Khiladi Aur Anya Kahaniyaan [Chess Players and Other Stories],Premchand,14-10-21,Neeraj Yadav,11,Hindi,4.5,0.0,08:38:00
Death: Genesis: An Isekai LitRPG,Nicholas Searcy,29-11-22,Eric Michael Summerer,0,English,0.0,1507.0,14:35:00
The Terror,Dan Simmons,05-04-18,Tom Sellwood,7,English,5.0,888.0,04:27:00
Rise of Kali,Anand Neelakantan,28-11-18,Siddhanta Pinto,281,English,4.5,357.0,16:10:00
Roll of the Dice,Anand Neelakantan,07-11-18,Siddhanta Pinto,182,English,4.5,284.0,15:07:00
Path of Daggers,Robert Jordan,11-11-08,Michael Kramer,31,English,4.0,301.0,23:25:00
Ajaya Pason ka Khel,Anand Neelakantan,11-04-19,Sundip Ved,32,Hindi,4.5,284.0,04:05:00
Cometh the Hour,Jeffrey Archer,25-02-16,Alex Jennings,36,English,4.5,323.0,13:03:00
Hotel,Arthur Hailey,17-03-20,Chris Abernathy,22,English,4.5,703.0,15:17:00
Dragonfly in Amber: International Edition,Diana Gabaldon,12-10-20,Davina Porter,6,English,4.5,1407.0,14:54:00
Transcendent Kingdom,Yaa Gyasi,01-09-20,Bahni Turpin,23,English,4.5,888.0,08:41:00
War and Peace (AmazonClassics Edition),Leo Tolstoy,31-03-20,Edoardo Ballerini,15,English,4.5,1196.0,07:30:00
Little Women,Louisa May Alcott,23-12-19,Emily Bauer,35,English,4.5,759.0,12:15:00
Anna Karenina,Leo Tolstoy,30-07-20,Miranda Pleasence,5,English,5.0,1093.0,12:59:00
Heartburn,Nora Ephron,09-07-13,Meryl Streep,154,English,4.0,879.0,05:30:00
The Master and Margarita,Mikhail Bulgakov,18-09-09,Julian Rhind-Tutt,22,English,4.5,1067.0,16:52:00
P. G. Wodehouse Volume 2,P. G. Wodehouse,08-07-21,Stephen Fry,41,English,5.0,1138.0,21:27:00
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,03-11-20,Nilotpal Mrinal,321,Hindi,5.0,668.0,06:13:00
7 Secrets of the Goddess,Devdutt Pattanaik,24-01-17,Sagar Arya,62,English,4.5,382.0,04:38:00
Never,Ken Follett,09-11-21,January LaVoy,41,English,4.0,323.0,23:57:00
Recursion,Blake Crouch,13-06-19,Jon Lindstrom,191,English,4.5,323.0,10:47:00
The Great Indian Novel,Shashi Tharoor,19-08-20,Akshay Ghildiyal,28,English,4.5,879.0,18:40:00
Honour,Elif Shafak,06-08-13,Colleen Pendergast,22,English,5.0,721.0,13:32:00
Eight Detectives,Alex Pavesi,20-08-20,Emilia Fox,21,English,4.5,888.0,11:16:00
War and Peace,Leo Tolstoy,30-04-20,Chloe Pirrie,11,English,4.5,888.0,19:13:00
"James Moriarty, Consulting Criminal",Andy Weir,06-06-17,Graeme Malcolm,41,English,4.0,166.0,01:10:00
This Was a Man,Jeffrey Archer,03-11-16,Alex Jennings,44,English,5.0,323.0,12:47:00
Sidney Sheldon's Chasing Tomorrow,Sidney Sheldon,07-10-14,Michael Kramer,10,English,4.5,1575.0,10:59:00
Mumbai Avengers,S. Hussain Zaidi,16-08-19,Mishal Verma,30,English,4.5,284.0,10:15:00
Three Daughters of Eve,Elif Shafak,02-02-17,Alix Dunmore,36,English,4.5,752.0,10:56:00
Lord Peter Wimsey: BBC Radio Drama Collection Volume 2,Dorothy L. Sayers,04-01-18,full cast,5,English,5.0,820.0,12:17:00
The Tata Group,Shashank Shah,30-07-19,Rajiv Dadia,28,English,4.5,879.0,17:48:00
Those Pricey Thakur Girls,Anuja Chauhan,12-02-17,Avita Jay,27,English,4.0,369.0,15:23:00
Valmiki's Women,Anand Neelakantan,31-08-21,Meher Acharia Dar,300,English,4.5,668.0,07:28:00
Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,11-06-19,Raphael Bob-Waksberg,3,English,4.5,879.0,06:05:00
Rain in the Mountains,Ruskin Bond,03-04-21,Deo Haldar,5,English,5.0,754.0,06:43:00
Normal People,Sally Rooney,28-08-18,Aoife McMahon,239,English,4.0,619.0,07:36:00
The Great Alone,Kristin Hannah,08-02-18,Julia Whelan,55,English,4.5,323.0,15:02:00
India's Most Fearless,Shiv Aroor,22-01-19,Pradeep Kumar,155,English,4.5,879.0,07:31:00
Mahabharata Vol 5,Bibek Debroy,30-11-21,Abhishek Sharma,3,English,4.5,879.0,03:15:00
Animal Farm,George Orwell,07-12-09,Simon Callow,352,English,4.5,645.0,03:11:00
Satyayoddha Kalki: Eye of Brahma,Kevin Missal,22-12-21,Manish Dongardive,119,English,4.5,836.0,12:01:00
One Heart to Win,Johanna Lindsey,11-06-13,Meredith Mitchell,6,English,3.0,609.0,10:25:00
The Wonderful Wizard of Oz,L. Frank Baum,08-03-12,Anne Hathaway,10,English,5.0,501.0,03:49:00
The Ministry of Utmost Happiness,Arundhati Roy,06-06-17,Arundhati Roy,134,English,4.5,820.0,16:36:00
Ready Player One,Ernest Cline,05-04-12,Wil Wheaton,187,English,4.5,957.0,15:40:00
Eleven Minutes,Paulo Coelho,15-01-09,Emilia Fox,44,English,4.5,322.0,06:13:00
"The Saint, the Surfer and the CEO",Robin Sharma,01-08-18,Grant Cartwright,35,English,4.5,1063.0,07:18:00
"Great Authors of the Western Literary Tradition, 2nd Edition",The Great Courses,08-07-13,Elizabeth Vandiver,3,English,5.0,2008.0,18:55:00
One Good Deed,David Baldacci,25-07-19,Edoardo Ballerini,37,English,4.5,323.0,11:40:00
Boo Aur Anya Kahaniyan [Bu and Other Stories],Saadat Hasan Manto,18-01-19,Uplaksh Kochhar,25,Hindi,4.0,0.0,06:29:00
Forbidden Desires,Madhuri Banerjee,01-01-17,Deepti Gupta,31,English,4.0,308.0,07:53:00
A Thousand Boy Kisses,Tillie Cole,25-08-22,P.J. Ochlan,1,English,4.0,888.0,13:01:00
Young Blood,Chandrima Das,31-12-21,Anindya Chakravorty,5,English,4.5,1519.0,10:15:00
A Tale for the Time Being,Ruth Ozeki,11-03-13,Ruth Ozeki,6,English,4.5,797.0,14:43:00
"Beautiful World, Where Are You",Sally Rooney,07-09-21,Aoife McMahon,127,English,4.0,759.0,10:04:00
BBC Classics: Ultimate Story Collection,Oscar Wilde,03-06-21,Sam Dale,23,English,4.5,1093.0,02:04:00
A Crown of Swords,Robert Jordan,01-01-06,Kate Reading,39,English,4.5,335.0,06:24:00
Great Expectations,Charles Dickens,12-07-18,Matt Lucas,32,English,4.5,1518.0,20:39:00
Wyrd Sisters,Terry Pratchett,28-04-22,Indira Varma,2,English,5.0,1093.0,09:53:00
The Haunting of Hill House,Shirley Jackson,04-10-10,Bernadette Dunne,35,English,4.5,585.0,07:27:00
Interpreter of Maladies,Jhumpa Lahiri,29-01-07,Matilda Novak,42,English,4.5,632.0,06:15:00
The Fourth Estate,Jeffrey Archer,19-03-21,Jonathan Aris,15,English,4.5,401.0,19:33:00
The Bell Jar,Sylvia Plath,16-07-15,Maggie Gyllenhaal,88,English,4.5,531.0,07:24:00
The Godfather,Mario Puzo,21-11-14,Joe Mantegna,230,English,5.0,873.0,18:05:00
Mark of the Fool,J.M. Clarke,20-09-22,Travis Baldree,0,English,0.0,836.0,00:00:00
He Who Fights with Monsters 4,Shirtaloon,28-12-21,Heath Miller,6,English,5.0,2010.0,22:20:00
God of War,J. M. Barlog,28-08-18,Alastair Duncan,50,English,4.5,820.0,09:46:00
Bechari-ra [Poor S/He],Ibne Safi,22-11-22,Talat Hussain,0,urdu,0.0,0.0,01:21:00
Lajja,Taslima Nasrin,09-02-22,Mala Mangla,4,English,4.0,879.0,09:58:00
The Secret Wish List,Preeti Shenoy,01-01-17,Deepti Gupta,67,English,4.5,243.0,07:42:00
Great Expectations,Charles Dickens,20-03-09,Martin Jarvis,16,English,4.5,873.0,17:32:00
"Very Good, Jeeves",P. G. Wodehouse,13-09-12,Jonathan Cecil,8,English,5.0,558.0,06:50:00
Arabian Nights: Volume 2,Marty Ross,18-12-18,David Ahmad,58,English,4.5,759.0,05:43:00
A Gathering of Friends,Ruskin Bond,01-01-17,Adnan Kapadia,8,English,4.5,359.0,09:39:00
A Memory of Light,Robert Jordan,08-01-13,Michael Kramer,28,English,5.0,335.0,17:47:00
Dance Dance Dance,Haruki Murakami,07-07-16,Rupert Degas,23,English,4.5,932.0,12:45:00
An Act of Foul Play,T E Kinsey,29-11-22,Elizabeth Knowelden,0,English,0.0,844.0,08:25:00
He Who Fights with Monsters 6,Shirtaloon,28-06-22,Heath Miller,6,English,5.0,2010.0,15:49:00
Lords and Ladies,Terry Pratchett,28-04-22,Indira Varma,3,English,5.0,1093.0,10:12:00
Eleanor Oliphant Is Completely Fine,Gail Honeyman,18-05-17,Cathleen McCarron,268,English,4.5,569.0,11:36:00
The Woman in the Window,A. J. Finn,25-01-18,Ann Marie Lee,21,English,4.0,491.0,13:42:00
Black Ops,Craig Alanson,26-09-17,R.C. Bray,9,English,4.5,1340.0,16:44:00
A Prisoner of Birth,Jeffrey Archer,07-03-08,Roger Allam,146,English,4.5,323.0,16:22:00
Winter of the World,Ken Follett,18-09-12,John Lee,21,English,5.0,323.0,07:43:00
Meri Priya Kahaniyaan [My Favourite Stories],Agyeya,10-06-20,Hema Nikam,4,Hindi,5.0,0.0,04:34:00
Crime and Punishment,Fyodor Dostoevsky,03-12-07,Anthony Heald,197,English,4.5,1338.0,20:28:00
2034,Elliot Ackerman,09-03-21,Emily Woo Zeller,48,English,4.5,1005.0,10:49:00
Rebecca,Daphne Du Maurier,07-04-09,Anna Massey,96,English,4.5,873.0,14:46:00
The Invisible Man,H. G. Wells,26-10-00,James Adams,14,English,4.5,668.0,05:19:00
The Grapes of Wrath,Robert DeMott - introduction,24-02-22,Richard Armitage,2,English,4.5,1093.0,20:58:00
The Paper Palace,Miranda Cowley Heller,29-07-21,Laurel Lefkow,10,English,4.0,888.0,11:36:00
Snow Crash,Neal Stephenson,31-12-00,Jonathan Davis,30,English,4.5,1172.0,17:03:00
Klara and the Sun,Kazuo Ishiguro,02-03-21,Sura Siu,107,English,4.0,759.0,10:16:00
Best of Faiz (Hindi Edition),Kuldip Salil,20-01-22,Prakil Singh,9,Hindi,4.5,0.0,02:17:00
It Happens for a Reason,Preeti Shenoy,01-01-17,Meetu Chilana,53,English,4.5,248.0,07:42:00
"Mightier than the Sword: Clifton Chronicles, Book 5",Jeffrey Archer,26-02-15,Alex Jennings,36,English,4.5,323.0,12:55:00
