Book_Name,Author,Release_Date,Narrator,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length
Habit of Winning,Prakash Iyer,"Release Date:
                                    22-12-18",Andrew Hoffland,4.5 out of 5 stars,46 ratings,₹703.00,"['Language:', 'English']",Length: 5 hrs and 21 mins
Everything Is F*cked,Mark Manson,"Release Date:
                                    14-05-19",Mark Manson,4.5 out of 5 stars,214 ratings,"₹1,238.00","['Language:', 'English']",Length: 7 hrs and 2 mins
Ashwathama,Ashutosh Garg,"Release Date:
                                    13-09-19",Neeraj Yadav,4 out of 5 stars,234 ratings,₹220.00,"['Language:', 'Hindi']",Length: 7 hrs
Kalvanin Kaadhali (Tamil Edition),Kalki,"Release Date:
                                    18-11-20",Bombay Kannan,4.5 out of 5 stars,47 ratings,₹118.00,"['Language:', 'tamil']",Length: 6 hrs and 52 mins
The George Orwell Complete Collection,George Orwell,"Release Date:
                                    16-12-21",Jonathan Keeble,4 out of 5 stars,1 rating,"₹2,277.00","['Language:', 'English']",Length: 87 hrs and 41 mins
Dharma,Amish Tripathi,"Release Date:
                                    09-09-22",Kanchan Wadi,4.5 out of 5 stars,11 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 26 mins
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,"Release Date:
                                    12-12-13",Charlton Griffin,4.5 out of 5 stars,29 ratings,"₹2,251.00","['Language:', 'English']",Length: 70 hrs and 48 mins
Fall of Giants,Ken Follett,"Release Date:
                                    29-07-11",John Lee,4.5 out of 5 stars,40 ratings,₹323.00,"['Language:', 'English']",Length: 30 hrs and 36 mins
The Time Traveler's Wife,Audrey Niffenegger,"Release Date:
                                    08-05-06",Fred Berman,4.5 out of 5 stars,29 ratings,₹937.00,"['Language:', 'English']",Length: 17 hrs and 38 mins
Reckoning,TurtleMe,"Release Date:
                                    30-08-22",Travis Baldree,5 out of 5 stars,14 ratings,"₹1,675.00","['Language:', 'English']",Length: 22 hrs and 45 mins
The Kiss Quotient,Helen Hoang,"Release Date:
                                    05-06-18",Carly Robins,4.5 out of 5 stars,92 ratings,"₹1,172.00","['Language:', 'English']",Length: 9 hrs and 36 mins
Zero Day,David Baldacci,"Release Date:
                                    04-11-11",Ron McLarty,4.5 out of 5 stars,23 ratings,₹323.00,"['Language:', 'English']",Length: 13 hrs and 7 mins
The Art of War,Sun Tzu,"Release Date:
                                    31-03-15",Aidan Gillen,4 out of 5 stars,787 ratings,₹333.00,"['Language:', 'English']",Length: 1 hr and 7 mins
Noble House,James Clavell,"Release Date:
                                    04-11-15",Ralph Lister,4.5 out of 5 stars,9 ratings,"₹1,003.00","['Language:', 'English']",Length: 54 hrs and 43 mins
The Lord of the Rings: The Two Towers (Dramatised),J. R. R. Tolkien,"Release Date:
                                    05-09-07",Ian Holm,4.5 out of 5 stars,50 ratings,₹615.00,"['Language:', 'English']",Length: 4 hrs and 29 mins
Democracy on the Road,Ruchir Sharma,"Release Date:
                                    19-11-19",Prateek Sharma,4 out of 5 stars,42 ratings,"₹1,005.00","['Language:', 'English']",Length: 13 hrs and 8 mins
Things We Never Got Over,Lucy Score,"Release Date:
                                    01-03-22",Lila Winters,4.5 out of 5 stars,10 ratings,₹836.00,"['Language:', 'English']",Length: 16 hrs and 1 min
River God,Wilbur Smith,"Release Date:
                                    31-01-19",Mark Meadows,4.5 out of 5 stars,6 ratings,"₹1,138.00","['Language:', 'English']",Length: 28 hrs and 36 mins
A Court of Silver Flames,Sarah J. Maas,"Release Date:
                                    16-02-21",Stina Nielsen,4.5 out of 5 stars,41 ratings,"₹1,407.00","['Language:', 'English']",Length: 26 hrs and 5 mins
Atlas Shrugged,Ayn Rand,"Release Date:
                                    02-12-08",Scott Brick,4.5 out of 5 stars,167 ratings,"₹1,406.00","['Language:', 'English']",Length: 62 hrs and 56 mins
10 Minutes 38 Seconds in This Strange World,Elif Shafak,"Release Date:
                                    06-06-19",Alix Dunmore,4.5 out of 5 stars,285 ratings,₹752.00,"['Language:', 'English']",Length: 9 hrs and 11 mins
Abhigyan Shakuntal,Kalidas,"Release Date:
                                    15-06-22",Neeraj Yadav,4.5 out of 5 stars,13 ratings,,"['Language:', 'Hindi']",Length: 4 hrs and 41 mins
So Long and Thanks for All the Fish,Douglas Adams,"Release Date:
                                    06-12-12",Martin Freeman,4 out of 5 stars,76 ratings,₹323.00,"['Language:', 'English']",Length: 4 hrs and 39 mins
Freed,E. L. James,"Release Date:
                                    01-06-21",Zachary Webber,4.5 out of 5 stars,15 ratings,"₹1,093.00","['Language:', 'English']",Length: 27 hrs and 15 mins
The Prophet,Khalil Gibrán,"Release Date:
                                    23-08-17",Arundhati Raja,4.5 out of 5 stars,71 ratings,₹490.00,"['Language:', 'English']",Length: 1 hr and 30 mins
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Release Date:
                                    19-11-10",Adam Sims,4.5 out of 5 stars,23 ratings,"₹1,477.00","['Language:', 'English']",Length: 14 hrs
If God Was a Banker,Ravi Subramanian,"Release Date:
                                    01-01-17",Sanjiv Jhaveri,4.5 out of 5 stars,66 ratings,₹245.00,"['Language:', 'English']",Length: 9 hrs and 15 mins
The Modern Intellectual Tradition: From Descartes to Derrida,Lawrence Cahoone,"Release Date:
                                    08-07-13",Lawrence Cahoone,5 out of 5 stars,6 ratings,"₹1,405.00","['Language:', 'English']",Length: 18 hrs and 46 mins
The Song of Achilles,Madeline Miller,"Release Date:
                                    15-07-21",Frazer Douglas,4.5 out of 5 stars,159 ratings,"₹1,138.00","['Language:', 'English']",Length: 11 hrs and 14 mins
Lord of the Flies,William Golding,"Release Date:
                                    06-09-12",Martin Jarvis,4.5 out of 5 stars,50 ratings,₹949.00,"['Language:', 'English']",Length: 6 hrs and 59 mins
Heroes,Stephen Fry,"Release Date:
                                    01-11-18",Stephen Fry,5 out of 5 stars,249 ratings,₹957.00,"['Language:', 'English']",Length: 15 hrs
Women and the Weight Loss Tamasha,Rujuta Diwekar,"Release Date:
                                    20-06-17",Rujuta Diwekar,4.5 out of 5 stars,71 ratings,₹359.00,"['Language:', 'English']",Length: 11 hrs and 38 mins
Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Release Date:
                                    28-09-17",Zainab Jah,4.5 out of 5 stars,69 ratings,₹759.00,"['Language:', 'English']",Length: 18 hrs and 9 mins
Caste Matters,Suraj Yengde,"Release Date:
                                    03-12-19",Siddhanta Pinto,4.5 out of 5 stars,48 ratings,₹879.00,"['Language:', 'English']",Length: 11 hrs and 12 mins
Shyam: An Illustrated Retelling of the Bhagavata,Devdutt Pattanaik,"Release Date:
                                    25-06-19",Rajiv Dadia,4.5 out of 5 stars,51 ratings,₹703.00,"['Language:', 'English']",Length: 5 hrs and 27 mins
Valmiki Ramayan (Hindi Edition),Valmiki,"Release Date:
                                    15-06-22",Ashwini Walia,5 out of 5 stars,35 ratings,,"['Language:', 'Hindi']",Length: 7 hrs and 17 mins
To Paradise,Hanya Yanagihara,"Release Date:
                                    11-01-22",BD Wong,3.5 out of 5 stars,3 ratings,₹323.00,"['Language:', 'English']",Length: 28 hrs and 46 mins
Ready Player Two,Ernest Cline,"Release Date:
                                    24-11-20",Wil Wheaton,4 out of 5 stars,99 ratings,₹888.00,"['Language:', 'English']",Length: 13 hrs and 46 mins
The Greatest Bengali Stories Ever Told,Arunava Sinha,"Release Date:
                                    05-06-17",Swetanshu Bora,3.5 out of 5 stars,59 ratings,₹500.00,"['Language:', 'English']",Length: 10 hrs and 8 mins
Chanakya and the Art of Getting Rich,Radhakrishnan Pillai,"Release Date:
                                    08-10-19",Sumit Kaul,4.5 out of 5 stars,35 ratings,₹502.00,"['Language:', 'English']",Length: 4 hrs and 41 mins
Banaras Talkies (Hindi Edition),Satya Vyas,"Release Date:
                                    29-10-18",Parvez Gauhar,4.5 out of 5 stars,99 ratings,₹154.00,"['Language:', 'Hindi']",Length: 6 hrs
Raavan,Amish Tripathi,"Release Date:
                                    04-10-19",Sagar Arya,4.5 out of 5 stars,"1,623 ratings",₹342.00,"['Language:', 'English']",Length: 11 hrs and 32 mins
Letters from a Stoic,Seneca,"Release Date:
                                    26-09-19",Julian Glover,4.5 out of 5 stars,11 ratings,₹683.00,"['Language:', 'English']",Length: 7 hrs and 38 mins
The Alchemist,Paulo Coelho,"Release Date:
                                    26-12-04",Jeremy Irons,4.5 out of 5 stars,"1,637 ratings","₹1,069.00","['Language:', 'English']",Length: 4 hrs
"Ponniyin Selvan - Part 4 [The Son of Ponni, Part 4]",Kalki,"Release Date:
                                    03-09-20",Bombay Kannan,5 out of 5 stars,314 ratings,₹118.00,"['Language:', 'tamil']",Length: 11 hrs and 46 mins
Poirot's Finest Cases,Agatha Christie,"Release Date:
                                    16-10-14",Full Cast,4.5 out of 5 stars,426 ratings,"₹1,093.00","['Language:', 'English']",Length: 15 hrs and 37 mins
World Without End,Ken Follett,"Release Date:
                                    19-10-10",John Lee,4.5 out of 5 stars,35 ratings,₹323.00,"['Language:', 'English']",Length: 45 hrs and 34 mins
Titans of War,Wilbur Smith,"Release Date:
                                    01-09-22",Mark Meadows,5 out of 5 stars,2 ratings,"₹1,480.00","['Language:', 'English']",Length: 14 hrs and 36 mins
